config,question,answer,contexts,ground_truth,f1,bert_f1
Setup_Default,What is normal body temperature?,"Normal body temperature is 98.6°F (37°C). This temperature is maintained by the body's ""thermostat"" located in the hypothalamus, which balances heat produced by metabolism with heat lost to the environment. The temperature can vary slightly throughout the day, being lowest at 6 A.M. and highest around 4-6 P.M.","['average being 98.6°F (37°C). The body maintains stabili-\nty within this range by balancing the heat produced by the\nmetabolism with the heat lost to the environment. The\n“thermostat” that controls this process is located in the\nhypothalamus, a small structure located deep within the\nbrain. The nervous system constantly relays information\nabout the body’s temperature to the thermostat, which in\nturn activates different physical responses designed to\nGALE ENCYCLOPEDIA OF MEDICINE 2 1313\nFever', 'Description\nFever is a natural response of the body that helps in\nfighting off foreign substances, such as microorganisms,\ntoxins, etc. Body temperature is set by the thermoregula-\ntory center, located in an area in the brain called hypo-\nthalamus. Body temperature is not constant all day, but\nactually is lowest at 6 A.M. and highest around 4–6 P.M. In\naddition, temperature varies in different regions of the\nbody; for example, rectal and urine temperatures are']","Normal body temperature averages 37°C (98.6°F). It varies slightly with time of day, activity, and age, but remains tightly regulated by hypothalamic control.",0.22535211267605634,0.8293723464012146
Setup_Default,What is blood pressure?,Blood pressure refers to the measurement of the force of blood against the blood vessels. A blood pressure of 140 over 90 or above is considered high. The normal threshold is < 140/90 mm Hg. Elevated blood pressure is usually between 140/90 mm Hg.,"['20 Current Essentials of Medicine\n1 Hypertension\n■ Essentials of Diagnosis\n• In most patients (95% of cases), no cause can be found\n• Chronic elevation in blood pressure (> 140/90 mm Hg) occurs in\n23% of non-Hispanic white adults and 32% of non-Hispanic black\nadults in the United States; onset is usually between ages 20 and 55\n• The pathogenesis is multifactorial: Environmental, dietary,\ngenetic, and neurohormonal factors all contribute', 'other risk factors, the risk multiplies.\n• High blood pressure—High blood pressure makes the\nheart work harder and weakens it over time. It increases\nthe risk of heart attack, stroke, kidney failure, and con-\ngestive heart failure. A blood pressure of 140 over 90\nor above is considered high. As the numbers rise, high\nblood pressure goes from Stage 1 (mild) to Stage 4\n(very severe). In combination with obesity, smoking,\nGALE ENCYCLOPEDIA OF MEDICINE 2\n929\nCoronary artery disease']","Blood pressure is the force exerted by circulating blood on arterial walls, expressed as systolic over diastolic pressure, reflecting cardiac output and vascular resistance.",0.1764705882352941,0.7722035646438599
Setup_Default,What is hypertension?,"Hypertension is a chronic elevation in blood pressure, typically above 140/90 mm Hg. It occurs in a significant percentage of adults, with onset usually between ages 20 and 55. The cause is unknown in most patients (95% of cases). Its pathogenesis involves environmental, dietary, genetic, and neurohormonal factors.","['20 Current Essentials of Medicine\n1 Hypertension\n■ Essentials of Diagnosis\n• In most patients (95% of cases), no cause can be found\n• Chronic elevation in blood pressure (> 140/90 mm Hg) occurs in\n23% of non-Hispanic white adults and 32% of non-Hispanic black\nadults in the United States; onset is usually between ages 20 and 55\n• The pathogenesis is multifactorial: Environmental, dietary,\ngenetic, and neurohormonal factors all contribute', '340 Current Essentials of Medicine\n11\nHypertensive Nephrosclerosis\n■ Essentials of Diagnosis\n• Poorly controlled hypertension for more than 15 years; alterna-\ntively, severe, aggressive hypertension, especially in young blacks\n• With extreme blood pressure elevation, papilledema and\nencephalopathy may occur\n• Ultrasound reveals bilateral small, echogenic kidneys in advanced\ndisease\n• Proteinuria is usual\n• Biopsy can show thickened vessels and sclerotic glomeruli; malig-']","Hypertension is a chronic condition where blood pressure persistently exceeds 140/90 mmHg, increasing risk of heart disease, stroke, kidney damage, and other complications.",0.22535211267605634,0.8083810210227966
Setup_Default,What is hemoglobin?,"Hemoglobin is the oxygen-carrying pigment found in red blood cells. It is a large molecule made in the bone marrow from two components, heme and globin.","['Hemoglobin is the oxygen-carrying pigment found\nin red blood cells. It is a large molecule made in the bone\nmarrow from two components, heme and globin.\nDefects in hemoglobin production may be either\ngenetic or acquired. The genetic defects are further sub-\ndivided into errors of heme production (porphyria), and\nthose of globin production (known collectively as the\nhemoglobinopathies).\nThere are two categories of hemoglobinopathy. In\nthe first category, abnormal globin chains give rise to', 'Fetal hemoglobin (Hemoglobin F), Alkali-resistant\nhemoglobin, HBF (or Hb F), is the major hemoglobin\ncomponent in the bloodstream of the fetus. After birth, it\ndecreases rapidly until only traces are found in normal\nchildren and adults.\nPurpose\nThe determination of fetal hemoglobin is an aid in\nevaluating low concentrations of hemoglobin in the\nblood (anemia), as well as the hereditary persistence of\nfetal hemoglobin, and a group of inherited disorders']",Hemoglobin is an iron-containing protein in red blood cells responsible for transporting oxygen from lungs to tissues and returning carbon dioxide to lungs.,0.28571428571428575,0.8643122315406799
Setup_Default,What is anemia?,"Anemia is a condition with an abnormally low number of red blood cells in the bloodstream. Major symptoms include paleness, shortness of breath, fast or strong heart beats, and tiredness. It can be detected with a simple blood count.","['Anemia—A condition in which there is an abnor-\nmally low number of red blood cells in the blood-\nstream. Major symptoms are paleness, shortness of\nbreath, unusually fast or strong heart beats, and\ntiredness.\nAntibody —A protein molecule produced by the\nimmune system in response to a protein that is not\nrecognized as belonging in the body.\nAntigen —A protein that can elicit an immune\nresponse in the form of antibody formation. With\nregard to red blood cells, the major antigens are A,', 'of the many causes of anemia is destruction of red blood\ncells, a process called hemolysis (hemo means blood and\nlysis means disintegration). A simple blood count\ndetects anemia. Even the test done before a blood dona-\ntion can identify anemia. To detect hemolysis requires\nother tests. The Coombs’ tests are conducted in order to\ndetermine the cause of anemia.\nOne characteristic of hemolysis is the autoimmune\nresponse against the body’s red blood cells. Instead of']","Anemia is a condition characterized by reduced hemoglobin or red blood cells, leading to decreased oxygen delivery, causing fatigue, weakness, pallor, and shortness of breath.",0.3125,0.8576826453208923
Setup_Default,What is heart rate?,"The heart rate is the number of times electrical impulses occur in the heart per minute. In a normal heart, this rate is 60-100 times per minute. It can rise in response to movement. The rate can also be measured in terms of beats per minute (bpm).","['lowing the regular conduction pathway.\nThe heart is described as showing arrhythmia or dys-\nrhythmia when time intervals between waves, the order,\nor the number of waves do not fit this pattern. Other fea-\ntures that may be altered include the direction of wave\ndeflection and wave widths.\nIn the normal heart, electrical impulses—at a rate of\n60–100 times per minute—originate in the sinus node.\nThe sinus node is located in the first chamber, known as', 'rate rises when he/she moves).\nThe baby’s monitor strip is considered to be reactive\nwhen the baby’s heart rate rises at least 20 bpm above the\nbaseline heart rate for at least 20 seconds. This must\noccur at least twice in a 20-minute period. A reactive\nheart rate tracing (also known as a reactive non-stress\ntest) is considered a sign of the baby’s well being.\nAbnormal results\nIf the baby’s heart rate drops very low or rises very\nhigh, this signals a serious problem. In either of these']",Heart rate is the number of heartbeats per minute. Normal resting rate in adults ranges from 60 to 100 beats per minute.,0.34782608695652173,0.8599895238876343
Setup_Default,What is myocardial infarction?,"Myocardial infarction (MI) is classified as ST-segment elevation (Q wave) MI, non-ST-segment elevation (non-Q wave) MI, or unstable angina. It presents with prolonged chest pain (> 30 minutes), often accompanied by shortness of breath, nausea, and diaphoresis. It can be painless in diabetics. Essentially, it's a heart attack caused by acute coronary syndrome.","['1\n1\nCardiovascular Diseases\nAcute Coronary Syndrome\n■ Essentials of Diagnosis\n• Classiﬁed as ST-segment elevation (Q wave) myocardial infarction\n(MI), non–ST-segment elevation (non-Q wave) MI, or unstable angina\n• Prolonged (> 30 minutes) chest pain, associated with shortness of\nbreath, nausea, left arm or neck pain, and diaphoresis; can be\npainless in diabetics\n• S4 common; S3, mitral insufﬁciency on occasion\n• Cardiogenic shock, ventricular arrhythmias may complicate', 'toms of congestive heart failure, often following an upper respi-\nratory tract infection\n• Electrocardiography may reveal ST-T wave changes, conduction\nblocks\n• Echocardiography shows diffusely depressed left ventricular func-\ntion and enlargement\n• Routine myocardial biopsy usually not recommended since\ninﬂammatory changes are often focal and nonspeciﬁc\n■ Differential Diagnosis\n• Acute myocardial ischemia or infarction due to coronary artery\ndisease\n• Pneumonia']","Myocardial infarction occurs when blood flow to heart muscle is blocked, causing tissue death due to oxygen deprivation, commonly known as a heart attack.",0.15584415584415587,0.7917851805686951
Setup_Default,What is angina pectoris?,"Angina pectoris is chest pain usually caused by a lack of oxygen in the heart muscle. It is generally caused by atherosclerotic coronary artery disease and severe coronary obstruction. Characterized by pressure-like episodic precordial chest discomfort, often precipitated by exertion or stress. It is relieved by rest.","['4 Current Essentials of Medicine\n1 Angina Pectoris\n■ Essentials of Diagnosis\n• Generally caused by atherosclerotic coronary artery disease and\nsevere coronary obstruction; cigarette smoking, diabetes mellitus,\nhypertension, hypercholesterolemia, and family history are estab-\nlished risk factors\n• Stable angina characterized by pressure-like episodic precordial\nchest discomfort, precipitated by exertion or stress, relieved by rest', 'episodes of atrial flutter, fibrillation, and some tachycar-\nKEY TERMS\nAngina pectoris —Chest pain usually caused by a\nlack of oxygen in the heart muscle.\nArrhythmia —Any deviation from a normal heart\nbeat.\nAtrial fibrillation —A condition in which the\nupper chamber of the heart quivers instead of\npumping in an organized way.\nAtrial flutter—Rapid, inefficient contraction of the\nupper chamber of the heart.\nCarotid artery—One of the major arteries supply-\ning blood to the head and neck.']","Angina is chest discomfort caused by reduced blood supply to heart muscle, often triggered by exertion or stress, relieved by rest or medication.",0.2857142857142857,0.8694962859153748
Setup_Default,What is atherosclerosis?,Atherosclerosis is sometimes referred to as coronary artery disease (CAD). It is associated with the buildup of cholesterol deposits and plaque in arteries. Elevated triglyceride levels and low HDL levels contribute to its development. It can lead to blocked arteries and reduced flow to the heart.,"['flow to the heart. Atherosclerosis is sometimes\ncalled coronary artery disease, or CAD.\nFractionation —A laboratory test or process in\nwhich blood or another fluid is broken down into\nits components. Fractionation can be used to assess\nthe proportions of the different types of cholesterol\nin a blood sample.\nHigh-density lipoprotein (HDL)—A type of lipopro-\ntein that protects against CAD by removing choles-\nterol deposits from arteries or preventing their for-\nmation.', 'Triglyceride —A fat that comes from food or is\nmade from other energy sources in the body. Ele-\nvated triglyceride levels contribute to the develop-\nment of atherosclerosis.\nusually called coronary angioplasty, is a non-surgical\nprocedure. A catheter tipped with a balloon is threaded\nfrom a blood vessel in the thigh into the blocked artery.\nThe balloon is inflated, compressing the plaque to\nenlarge the blood vessel and open the blocked artery. The']","Atherosclerosis is buildup of fatty plaques in arteries, narrowing them and reducing blood flow, increasing risk of heart attack, stroke, and peripheral vascular disease.",0.1714285714285714,0.8325462937355042
Setup_Default,What is respiration?,"Unfortunately, the context does not provide a direct definition of respiration. However, based on the information provided, it can be inferred that respiration refers to the process involving the muscles that are responsible for breathing. This is because CPR is a procedure to support and maintain breathing and circulation, and it mentions ""ascending to the muscles involved in respiration"".","['Cardiopulmonary\nresuscitation (CPR)\nDefinition\nCardiopulmonary resuscitation (CPR) is a procedure\nto support and maintain breathing and circulation for a\nGALE ENCYCLOPEDIA OF MEDICINE 2 661\nCardiopulmonary resuscitation (CPR)', 'ascending to the muscles involved in respiration.\nThe syndrome is due to inflammation and loss of\nthe myelin covering of the nerve fibers, often asso-\nciated with an acute infection.\nMeninges —Outer covering of the spinal cord and\nbrain. Infection is called meningitis, which can lead\nto damage to the brain or spinal cord and even\ndeath.\nOral Rehydration Solution (ORS) —A liquid prepa-\nration developed by the World Health Organization\nthat can decrease fluid loss in persons with diar-']","Respiration is the process of inhaling oxygen and exhaling carbon dioxide, involving lungs and blood circulation to maintain cellular metabolism and energy production.",0.21951219512195125,0.7786892056465149
